ytid_V,Comments,Emotion,aspect_version,caption_version,shorth_aspect,short_caption,aspect_list,caption
-0Gj8-vB1q4_1,Not low quality. No strings,Sad,TRUE,FALSE,,x,"low quality, sustained strings melody, soft female vocal, mellow piano melody, sad, soulful, ballad","The low quality recording features a ballad song that contains sustained strings, mellow piano melody and soft female vocal singing over it. It sounds sad and soulful."
-0Gj8-vB1q4_2,Not low quality. No strings,Sad,TRUE,FALSE,,x,"low quality, sustained strings melody, soft female vocal, mellow piano melody, sad, soulful, ballad","The low quality recording features a ballad song that contains sustained strings, mellow piano melody and soft female vocal singing over it. It sounds sad and soulful."
-0Gj8-vB1q4_3,No strings,Sad,FALSE,TRUE,,x,"low quality, sustained strings melody, soft female vocal, mellow piano melody, sad, soulful, ballad","The low quality recording features a ballad song that contains sustained strings, mellow piano melody and soft female vocal singing over it. It sounds sad and soulful."
-0Gj8-vB1q4_4,No strings. Not clearly a female voice,Sad,FALSE,TRUE,,x,"low quality, sustained strings melody, soft female vocal, mellow piano melody, sad, soulful, ballad","The low quality recording features a ballad song that contains sustained strings, mellow piano melody and soft female vocal singing over it. It sounds sad and soulful."
-1UWSisR2zo_1,Not poor audio quality. No ambient noises,"Exciting, Energetic",TRUE,FALSE,x,x,"live performance, poor audio quality, ambient noises, school dance program, crowd noise, high gain volume, hissing tones, medium tempo, techno dance song, male singer, groovy bass line, techno dance","A male singer sings this groovy melody. The song is a techno dance song with a groovy bass line, strong drumming rhythm and a keyboard accompaniment. The song is so groovy and serves as a dance track"
-1UWSisR2zo_2,Not poor audio quality. No ambient noises,"Exciting, Energetic",TRUE,FALSE,x,x,"live performance, poor audio quality, ambient noises, school dance program, crowd noise, high gain volume, hissing tones, medium tempo, techno dance song, male singer, groovy bass line, techno dance","A male singer sings this groovy melody. The song is a techno dance song with a groovy bass line, strong drumming rhythm and a keyboard accompaniment. The song is so groovy and serves as a dance track"
-1UWSisR2zo_3,Not clearly a male singer,"Exciting, Energetic",FALSE,TRUE,x,x,"live performance, poor audio quality, ambient noises, school dance program, crowd noise, high gain volume, hissing tones, medium tempo, techno dance song, male singer, groovy bass line, techno dance","A male singer sings this groovy melody. The song is a techno dance song with a groovy bass line, strong drumming rhythm and a keyboard accompaniment. The song is so groovy and serves as a dance track"
-1UWSisR2zo_4,Not clearly a male singer,"Exciting, Energetic",FALSE,TRUE,x,x,"live performance, poor audio quality, ambient noises, school dance program, crowd noise, high gain volume, hissing tones, medium tempo, techno dance song, male singer, groovy bass line, techno dance","A male singer sings this groovy melody. The song is a techno dance song with a groovy bass line, strong drumming rhythm and a keyboard accompaniment. The song is so groovy and serves as a dance track"
-5xOcMJpTUk_1,,"Sad, calm",TRUE,FALSE,x,x,"guitarist, male talking, twang sounds, mediocre audio quality, guitar string tones, guitar technique, fretboard sounds, guitar demo, online guitar lessons, home music video, youtube tutorial,","A male guitarist plays the guitar and speaks about technique in this online video tutorial. The male voice is strong and commanding, along with guitar string twang sounds,"
-5xOcMJpTUk_2,Not clearly a male voice,"Sad, calm",TRUE,FALSE,x,x,"guitarist, male talking, twang sounds, mediocre audio quality, guitar string tones, guitar technique, fretboard sounds, guitar demo, online guitar lessons, home music video, youtube tutorial,","A male guitarist plays the guitar and speaks about technique in this online video tutorial. The male voice is strong and commanding, along with guitar string twang sounds,"
